Definition,Definition (Numbers),Display Name,Display Name (Numbers),Regular Expression,Kind/Type Order,Units/Facets (Boolean),Units/Facets (String/Enumeration),Units/Facets (Imperial),Units/Facets (Metric),Precision (Imperial),Precision (Metric),Stage,Phase,Markers,Equipment
sumpPumpHandMode,sumpPumpXXXXHandMode,Sump Pump Hand/Auto Mode,Sump Pump XX Hand/Auto Mode,"sumpPump(\w{0,4}(?=[A-Z]|$))HandMode",Bool,Hand/Auto,Hand/Auto,,,,,,,"sump,water,pump,handMode,sensor","LS,SMP,TWR"
sumpPumpLagDisableSp,sumpPumpXXXXLagDisableSp,Sump Pump Lag Disable Setpoint,Sump Pump XX Lag Disable Setpoint,"sumpPump(\w{0,4}(?=[A-Z]|$))LagDisableSp",Number,,,percent,percent,1,1,,,"sump,water,pump,lag,disable,sp","LS,SMP,TWR"
sumpPumpLagEnableSp,sumpPumpXXXXLagEnableSp,Sump Pump Lag Enable Setpoint,Sump Pump XX Lag Enable Setpoint,"sumpPump(\w{0,4}(?=[A-Z]|$))LagEnableSp",Number,,,percent,percent,1,1,,,"sump,water,pump,lag,enable,sp","LS,SMP,TWR"
sumpPumpLagReq,sumpPumpXXXXLagReq,Sump Pump Lag Request,Sump Pump XX Lag Request,"sumpPump(\w{0,4}(?=[A-Z]|$))LagReq",Bool,Request/No Request,Request/No Request,,,,,,,"sump,water,pump,lag,request,cmd","LS,SMP,TWR"
sumpPumpLead,sumpPumpLead,Sump Pump Lead,Sump Pump Lead,sumpPumpLead,Bool,Lead 1/Lead 2,Lead 1/Lead 2,,,,,,,"sump,water,pump,lead,sp","LS,SMP,TWR"
sumpPumpLeadXor,sumpPumpLeadXor,Sump Pump Lead Change Over,Sump Pump Lead Change Over,sumpPumpLeadXor,Bool,On/Off,On/Off,,,,,,,"sump,water,pump,lead,changeOver,cmd","LS,SMP,TWR"
sumpPumpLeadXorRuntimeSp,sumpPumpLeadXorRuntimeSp,Sump Pump Lead Change Over Runtime Setpoint,Sump Pump Lead Change Over Runtime Setpoint,sumpPumpLeadXorRuntimeSp,Number,,,hour,hour,1,1,,,blacklist,"LS,SMP,TWR"
sumpPumpLeavingPressure,sumpPumpXXXXLeavingPressure,Sump Pump Leaving Pressure,Sump Pump XX Leaving Pressure,"sumpPump(\w{0,4}(?=[A-Z]|$))LeavingPressure",Number,,,pounds_per_square_inch,kilopascal,1,1,,,"sump,water,pump,leaving,pressure,sensor","LS,SMP,TWR"
sumpPumpMaintSwitch,sumpPumpXXXXMaintSwitch,Sump Pump Maintenance Switch,Sump Pump XX Maintenance Switch,"sumpPump(\w{0,4}(?=[A-Z]|$))MaintSwitch",Bool,On/Off,On/Off,,,,,,,"sump,water,pump,maintenance,switch,cmd","LS,SMP,TWR"
sumpPumpMotorShortAlarm,sumpPumpXXXXMotorShortAlarm,Sump Pump Motor Short Alarm,Sump Pump XX Motor Short Alarm,"sumpPump(\w{0,4}(?=[A-Z]|$))MotorShortAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"sump,water,pump,motor,short,alarm","LS,SMP,TWR"
sumpPumpMotorSpeed,sumpPumpXXXXMotorSpeed,Sump Pump Motor Speed,Sump Pump XX Motor Speed,"sumpPump(\w{0,4}(?=[A-Z]|$))MotorSpeed",Number,,,revolutions_per_minute,revolutions_per_minute,0,0,,,"sump,water,pump,motorSpeed,sensor","LS,SMP,TWR"
sumpPumpMotorTemp,sumpPumpXXXXMotorTemp,Sump Pump Motor Temperature,Sump Pump XX Motor Temperature,"sumpPump(\w{0,4}(?=[A-Z]|$))MotorTemp",Number,,,fahrenheit,celsius,1,1,,,"sump,water,pump,motorTemp,sensor","LS,SMP,TWR"
sumpPumpOvr,sumpPumpXXXXOvr,Sump Pump Override,Sump Pump XX Override,"sumpPump(\w{0,4}(?=[A-Z]|$))Ovr",Bool,On/Off,On/Off,,,,,,,"sump,water,pump,status,ovr","LS,SMP,TWR"
sumpPumpPowerReal,sumpPumpXXXXPowerReal,Sump Pump Real Power,Sump Pump XX Real Power,"sumpPump(\w{0,4}(?=[A-Z]|$))PowerReal",Number,,,kilowatt,kilowatt,1,1,,N,"sump,water,pump,power,real,sensor","LS,SMP,TWR"
sumpPumpPressureDelta,sumpPumpXXXXPressureDelta,Sump Pump Pressure Delta,Sump Pump XX Pressure Delta,"sumpPump(\w{0,4}(?=[A-Z]|$))PressureDelta",Number,,,pounds_per_square_inch,kilopascal,1,1,,,"sump,water,pump,common,pressure,delta,sensor","LS,SMP,TWR"
sumpPumpPressureHiAlarm,sumpPumpXXXXPressureHiAlarm,Sump Pump Pressure High Alarm,Sump Pump XX Pressure High Alarm,"sumpPump(\w{0,4}(?=[A-Z]|$))PressureHiAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"sump,water,pump,pressure,high,alarm","LS,SMP,TWR"
sumpPumpPressureHiSp,sumpPumpXXXXPressureHiSp,Sump Pump Pressure High Setpoint,Sump Pump XX Pressure High Setpoint,"sumpPump(\w{0,4}(?=[A-Z]|$))PressureHiSp",Number,,,pounds_per_square_inch,kilopascal,1,1,,,"sump,water,pump,pressure,high,sp","LS,SMP,TWR"
sumpPumpPressureLoAlarm,sumpPumpXXXXPressureLoAlarm,Sump Pump Pressure Low Alarm,Sump Pump XX Pressure Low Alarm,"sumpPump(\w{0,4}(?=[A-Z]|$))PressureLoAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"sump,water,pump,pressure,low,alarm","LS,SMP,TWR"
sumpPumpPressureLoSp,sumpPumpXXXXPressureLoSp,Sump Pump Pressure Low Setpoint,Sump Pump XX Pressure Low Setpoint,"sumpPump(\w{0,4}(?=[A-Z]|$))PressureLoSp",Number,,,pounds_per_square_inch,kilopascal,1,1,,,"sump,water,pump,pressure,low,sp","LS,SMP,TWR"
sumpPumpRuntime,sumpPumpXXXXRuntime,Sump Pump Runtime,Sump Pump XX Runtime,"sumpPump(\w{0,4}(?=[A-Z]|$))Runtime",Number,,,hour,hour,1,1,,,blacklist,"LS,SMP,TWR"
sumpPumpRuntime,sumpPumpXXXXRuntime,Sump Pump Runtime,Sump Pump XX Runtime,"sumpPump(\w{0,4}(?=[A-Z]|$))Runtime",Number,,,hour,hour,1,1,,,blacklist,"LS,SMP,TWR"
sumpPumpSpeed,sumpPumpXXXXSpeed,Sump Pump Speed,Sump Pump XX Speed,"sumpPump(\w{0,4}(?=[A-Z]|$))Speed",Number,,,percent,percent,1,1,,,"sump,water,pump,speed,cmd","LS,SMP,TWR"
sumpPumpSpeedFb,sumpPumpXXXXSpeedFb,Sump Pump Speed Feedback,Sump Pump XX Speed Feedback,"sumpPump(\w{0,4}(?=[A-Z]|$))SpeedFb",Number,,,percent,percent,1,1,,,"sump,water,pump,speed,sensor","LS,SMP,TWR"
sumpPumpSpeedMaxSp,sumpPumpXXXXSpeedMaxSp,Sump Pump Speed Max Setpoint,Sump Pump XX Speed Max Setpoint,"sumpPump(\w{0,4}(?=[A-Z]|$))SpeedMaxSp",Number,,,percent,percent,1,1,,,"sump,water,pump,speed,max,sp","LS,SMP,TWR"
sumpPumpSpeedMinSp,sumpPumpXXXXSpeedMinSp,Sump Pump Speed Min Setpoint,Sump Pump XX Speed Min Setpoint,"sumpPump(\w{0,4}(?=[A-Z]|$))SpeedMinSp",Number,,,percent,percent,1,1,,,"sump,water,pump,speed,min,sp","LS,SMP,TWR"
sumpPumpSpeedOvr,sumpPumpXXXXSpeedOvr,Sump Pump Speed Override,Sump Pump XX Speed Override,"sumpPump(\w{0,4}(?=[A-Z]|$))SpeedOvr",Number,,,percent,percent,1,1,,,"sump,water,pump,speed,ovr","LS,SMP,TWR"
sumpPumpSpeedSp,sumpPumpXXXXSpeedSp,Sump Pump Speed Setpoint,Sump Pump XX Speed Setpoint,"sumpPump(\w{0,4}(?=[A-Z]|$))SpeedSp",Number,,,percent,percent,1,1,,,"sump,water,pump,speed,effective,sp","LS,SMP,TWR"
sumpPumpStarts,sumpPumpXXXXStarts,Sump Pump Starts,Sump Pump XX Starts,"sumpPump(\w{0,4}(?=[A-Z]|$))Starts",Number,,,,,0,0,,,"sump,water,pump,starts,sensor","LS,SMP,TWR"
sumpPumpStatus,sumpPumpXXXXStatus,Sump Pump Status,Sump Pump XX Status,"sumpPump(\w{0,4}(?=[A-Z]|$))Status",Bool,On/Off,On/Off,,,,,,,"sump,water,pump,status,sensor","LS,SMP,TWR"
sumpPumpTorque,sumpPumpXXXXTorque,Sump Pump Torque,Sump Pump XX Torque,"sumpPump(\w{0,4}(?=[A-Z]|$))Torque",Number,,,percent,percent,1,1,,,"sump,water,pump,torque,sensor","LS,SMP,TWR"
sumpPumpVoltage,sumpPumpXXXXVoltage,Sump Pump Voltage,Sump Pump XX Voltage,"sumpPump((?:(?!DC)\w){0,4}(?=[A-Z]|$))Voltage",Number,,,volt,volt,1,1,,N,"sump,water,pump,volt,sensor","LS,SMP,TWR"
sumpTemp,sumpTemp,Sump Temperature,Sump Temperature,sumpTemp,Number,,,fahrenheit,celsius,1,1,,,"sump,water,temp,sensor","SMP,TWR"
sumpTempLoSp,sumpTempLoSp,Sump Temperature Low Setpoint,Sump Temperature Low Setpoint,sumpTempLoSp,Number,,,fahrenheit,celsius,1,1,,,"sump,water,temp,low,sp","SMP,TWR"
sunriseTime,sunriseTime,Sunrise Time,Sunrise Time,sunriseTime,Str,,hh:mm,,,,,,,"sunrise,time,sensor",WTHR
sunriseTime,sunriseTime,Sunrise Time,Sunrise Time,sunriseTime,Str,,hh:mm,,,,,,,"sunrise,time,sensor",WTHR
sunsetTime,sunsetTime,Sunset Time,Sunset Time,sunsetTime,Str,,hh:mm,,,,,,,"sunset,time,sensor",WTHR
sunsetTime,sunsetTime,Sunset Time,Sunset Time,sunsetTime,Str,,hh:mm,,,,,,,"sunset,time,sensor",WTHR
supervisoryAlarm,supervisoryAlarm,Supervisory Alarm,Supervisory Alarm,supervisoryAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"supervisor,alarm",MSC
sweepTime,sweepTime,Sweep Time,Sweep Time,sweepTime,Number,,,second,second,0,0,,,"sweep,time,sensor",RRS
sweepTime,sweepTime,Sweep Time,Sweep Time,sweepTime,Number,,,second,second,0,0,,,"sweep,time,sensor",RRS
switchStatus,switchXXXXStatus,Switch Status,Switch XX Status,"switch(\d{0,4})Status",Str,,,,,,,,,,
systemAlarm,systemAlarm,System Alarm,System Alarm,systemAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"system,common,alarm","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SEC,SMEX,SMS,WS"
systemAlarmReset,systemAlarmReset,System Alarm Reset,System Alarm Reset,systemAlarmReset,Bool,Reset/Normal,Reset/Normal,,,,,,,"system,reset,alarm","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SEC,SMEX,SMS,WS"
systemBypassSwitch,systemBypassSwitch,System Bypass Switch,System Bypass Switch,systemBypassSwitch,Bool,On/Off,On/Off,,,,,,,"system,bypass,switch,cmd","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,UPS,WS"
systemDisableSp,systemDisableSp,System Disable Setpoint,System Disable Setpoint,systemDisableSp,Number,,,fahrenheit,celsius,1,1,,,"system,disable,sp","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemEfficiency,systemEfficiency,System Efficiency,System Efficiency,systemEfficiency,Number,,,percent,percent,1,1,,,"system,efficiency,sensor","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemEnable,systemEnable,System Enable Command,System Enable Command,systemEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"system,enable,cmd","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemEnable,systemEnable,System Enable Command,System Enable Command,systemEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"system,enable,cmd","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS,CDA"
systemEnableDb,systemEnableDb,System Enable Deadband,System Enable Deadband,systemEnableDb,Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"system,enable,deadband,sp","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemEnableOvr,systemEnableOvr,System Enable Override,System Enable Override,systemEnableOvr,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"system,enable,ovr","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemEnableSp,systemEnableSp,System Enable Setpoint,System Enable Setpoint,systemEnableSp,Number,,,fahrenheit,celsius,1,1,,,"system,enable,effective,sp","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemFault,systemFault,System Fault,System Fault,systemFault,Bool,Fault/Normal,Fault/Normal,,,,,,,"system,fault","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemHandMode,systemHandMode,System Hand Mode,System Hand Mode,systemHandMode,Bool,Hand/Auto,Hand/Auto,,,,,,,"system,handMode,sensor","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemLoad,systemLoad,System Load,System Load,systemLoad,Number,,,percent,percent,1,1,,,"system,load,sensor","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemMaintAlarm,systemMaintAlarm,System Maintenance Alarm,System Maintenance Alarm,systemMaintAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"system,maintenance,alarm","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemMode,systemMode,System Mode,System Mode,systemMode,Str,On/Off,On/Off/Idle/Hand,,,,,,,"system,mode,sp","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SEC,SMEX,SMS,WS"
systemModeBAS,,System Mode BAS,,,Str,,On/Off/Idle/Hand,,,,,,,,DHWS
systemModeOvr,,System Mode Override,,,Str,,On/Off/Idle/Hand,,,,,,,,
systemPressure,systemPressure,System Pressure,System Pressure,systemPressure,Number,,,pounds_per_square_inch,kilopascal,1,1,,,,
systemPressureAlarm,systemPressureAlarm,System Pressure Alarm,System Pressure Alarm,systemPressureAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"system,pressure,alarm","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemRegeneration,systemRegeneration,System Regeneration Command,System Regeneration Command,systemRegeneration,Bool,On/Off,On/Off,,,,,,,"system,regeneration,status,cmd","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemRuntime,systemRuntime,System Runtime,System Runtime,systemRuntime,Number,,,hour,hour,1,1,,,blacklist,"CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemRuntime,systemRuntime,System Runtime,System Runtime,systemRuntime,Number,,,hour,hour,1,1,,,blacklist,"CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemShutdown,systemShutdown,System Shutdown,System Shutdown,systemShutdown,Bool,Shutdown/Auto,Shutdown/Auto,,,,,,,"system,shutdown,sp","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
systemTrouble,systemTrouble,System Trouble,System Trouble,systemTrouble,Bool,Trouble/Normal,Trouble/Normal,,,,,,,"system,trouble,sensor","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SEC,SMEX,SMS,WS"
systemWarning,systemWarning,System Warning,System Warning,systemWarning,Bool,Warning/Normal,Warning/Normal,,,,,,,"system,warning","CWS,FC,GEO,GINT,HDS,HWS,PINT,RFG,ROS,SMEX,SMS,WS"
tankBypassValve,tankBypassValveXXXX,Tank Bypass Valve Command,Tank Bypass Valve XX Command,"tankBypassValve(\d{0,4})",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"tank,water,bypass,valve,position,cmd",TNK
tankBypassValveFb,tankBypassValveXXXXFb,Tank Bypass Valve Feedback,Tank Bypass Valve XX Feedback,"tankBypassValve(\d{0,4})Fb",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"tank,water,bypass,valve,position,sensor",TNK
tankEnteringPressure,tankEnteringPressure,Tank Entering Pressure,Tank Entering Pressure,tankEnteringPressure,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,entering,pressure,sensor",TNK
tankEnteringPressureAlarm,tankEnteringPressureAlarm,Tank Entering Pressure Alarm,Tank Entering Pressure Alarm,tankEnteringPressureAlarm,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,entering,pressure,common,alarm",TNK
tankEnteringPressureHiAlarm,tankEnteringPressureHiAlarm,Tank Entering Pressure High Alarm,Tank Entering Pressure High Alarm,tankEnteringPressureHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tank,entering,pressure,high,alarm",TNK
tankEnteringPressureLoAlarm,tankEnteringPressureLoAlarm,Tank Entering Pressure Low Alarm,Tank Entering Pressure Low Alarm,tankEnteringPressureLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tank,entering,pressure,low,alarm",TNK
tankEnteringTemp,tankEnteringTemp,Tank Entering Temperature,Tank Entering Temperature,tankEnteringTemp,Number,,,fahrenheit,celsius,1,1,,,"tank,water,entering,temp,sensor",TNK
tankEnteringTempHiAlarm,tankEnteringTempHiAlarm,Tank Entering Temperature High Alarm,Tank Entering Temperature High Alarm,tankEnteringTempHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tank,entering,temp,high,alarm",TNK
tankEnteringTempLoAlarm,tankEnteringTempLoAlarm,Tank Entering Temperature Low Alarm,Tank Entering Temperature Low Alarm,tankEnteringTempLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tank,entering,temp,low,alarm",TNK
tankFillValve,tankFillValve,Tank Fill Valve Command,Tank Fill Valve Command,tankFillValve,Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"tank,water,fill,valve,position,cmd",TNK
tankFillValveFb,tankFillValveFb,Tank Fill Valve Feedback,Tank Fill Valve Feedback,tankFillValveFb,Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"tank,water,fill,valve,position,sensor",TNK
tankFillVolume,tankFillVolume,Tank Fill Volume,Tank Fill Volume,tankFillVolume,Number,,,gallon,liter,0,0,,,"tank,water,fill,volume,sensor",TNK
tankFillVolumeSp,tankFillVolumeSp,Tank Fill Volume Setpoint,Tank Fill Volume Setpoint,tankFillVolumeSp,Number,,,gallon,liter,0,0,,,"tank,water,fill,volume,sp",TNK
tankLeavingPressure,tankLeavingPressure,Tank Leaving Pressure,Tank Leaving Pressure,tankLeavingPressure,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,leaving,pressure,sensor",TNK
tankLeavingPressureDb,tankLeavingPressureDb,Tank Leaving Pressure Deadband,Tank Leaving Pressure Deadband,tankLeavingPressureDb,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,leaving,pressure,deadband,sp",TNK
tankLeavingPressureHiSp,tankLeavingPressureHiSp,Tank Leaving Pressure High Setpoint,Tank Leaving Pressure High Setpoint,tankLeavingPressureHiSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,leaving,pressure,high,sp",TNK
tankLeavingPressureLoSp,tankLeavingPressureLoSp,Tank Leaving Pressure Low Setpoint,Tank Leaving Pressure Low Setpoint,tankLeavingPressureLoSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,leaving,pressure,low,sp",TNK
tankLeavingPressureSp,tankLeavingPressureSp,Tank Leaving Pressure Setpoint,Tank Leaving Pressure Setpoint,tankLeavingPressureSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,leaving,pressure,effective,sp",TNK
tankLeavingTemp,tankLeavingTemp,Tank Leaving Temperature,Tank Leaving Temperature,tankLeavingTemp,Number,,,fahrenheit,celsius,1,1,,,"tank,water,leaving,temp,sensor",TNK
tankLevel,tankLevelXXXX,Tank Level,Tank Level XX,"tankLevel(\d{0,4})",Number,,,percent,percent,1,1,,,"tank,water,level,sensor",TNK
tankLevelAlarm,tankLevelXXXXAlarm,Tank Level Alarm,Tank Level XX Alarm,"tankLevel(\d{0,4})Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tank,water,level,common,alarm",TNK
tankLevelFault,tankLevelXXXXFault,Tank Level Fault,Tank Level XX Fault,"tankLevel(\d{0,4})Fault",Bool,Fault/Normal,Fault/Normal,,,,,,,"tank,water,level,fault",TNK
tankLevelHiAlarm,tankLevelXXXXHiAlarm,Tank Level High Alarm,Tank Level XX High Alarm,"tankLevel(\d{0,4})HiAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tank,water,level,high,alarm",TNK
tankLevelHiSp,tankLevelXXXXHiSp,Tank Level High Setpoint,Tank Level XX High Setpoint,"tankLevel(\d{0,4})HiSp",Number,,,percent,percent,1,1,,,"tank,water,level,high,sp",TNK
tankLevelLoAlarm,tankLevelXXXXLoAlarm,Tank Level Low Alarm,Tank Level XX Low Alarm,"tankLevel(\d{0,4})LoAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tank,water,level,low,alarm",TNK
tankLevelLoSp,tankLevelXXXXLoSp,Tank Level Low Setpoint,Tank Level XX Low Setpoint,"tankLevel(\d{0,4})LoSp",Number,,,percent,percent,1,1,,,"tank,water,level,low,sp",TNK
tankPressure,tankPressure,Tank Pressure,Tank Pressure,tankPressure,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,static,pressure,sensor",TNK
tankPressureDb,tankPressureDb,Tank Pressure Deadband,Tank Pressure Deadband,tankPressureDb,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,static,pressure,deadband,sp",TNK
tankPressureDelta,tankPressureDelta,Tank Pressure Delta,Tank Pressure Delta,tankPressureDelta,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,delta,pressure,sensor",TNK
tankPressureHiAlarm,tankPressureHiAlarm,Tank Pressure High Alarm,Tank Pressure High Alarm,tankPressureHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tank,static,pressure,high,alarm",TNK
tankPressureHiSp,tankPressureHiSp,Tank Pressure High Setpoint,Tank Pressure High Setpoint,tankPressureHiSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,static,pressure,high,sp",TNK
tankPressureLoSp,tankPressureLoSp,Tank Pressure Low Setpoint,Tank Pressure Low Setpoint,tankPressureLoSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,static,pressure,low,sp",TNK
tankPressureSp,tankPressureSp,Tank Pressure Setpoint,Tank Pressure Setpoint,tankPressureSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"tank,static,pressure,effective,sp",TNK
tankStatus,,storage tank status,,,Str,,,,,,,,,,
tankTemp,tankTemp,Tank Temperature,Tank Temperature,tankTemp,Number,,,fahrenheit,celsius,1,1,,,"tank,water,common,temp,sensor",TNK
tankTempBottom,tankTempBottom,Tank Bottom Temperature,Tank Bottom Temperature,tankTempBottom,Number,,,fahrenheit,celsius,1,1,,,"tank,water,bottom,temp,sensor",TNK
tankTempFault,tankTempFault,Tank Temperature Fault,Tank Temperature Fault,tankTempFault,Bool,Fault/Normal,Fault/Normal,,,,,,,"tank,water,temp,fault",TNK
tankTempHiAlarm,tankTempHiAlarm,Tank Temperature High Alarm,Tank Temperature High Alarm,tankTempHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tank,water,temp,high,alarm",TNK
tankTempHiSp,tankTempHiSp,Tank Temperature High Setpoint,Tank Temperature High Setpoint,tankTempHiSp,Number,,,fahrenheit,celsius,1,1,,,"tank,water,temp,high,sp",TNK
tankTempLoAlarm,tankTempLoAlarm,Tank Temperature Low Alarm,Tank Temperature Low Alarm,tankTempLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tank,water,temp,low,alarm",TNK
tankTempLoSp,tankTempLoSp,Tank Temperature Low Setpoint,Tank Temperature Low Setpoint,tankTempLoSp,Number,,,fahrenheit,celsius,1,1,,,"tank,water,temp,low,sp",TNK
tankTempMid,tankTempMid,Tank Middle Temperature,Tank Middle Temperature,tankTempMid,Number,,,fahrenheit,celsius,1,1,,,"tank,water,mid,temp,sensor",TNK
tankTempSp,tankTempSp,Tank Temperature Setpoint,Tank Temperature Setpoint,tankTempSp,Number,,,fahrenheit,celsius,1,1,,,"tank,water,effective,temp,sp",TNK
tankTempTop,tankTempTop,Tank Top Temperature,Tank Top Temperature,tankTempTop,Number,,,fahrenheit,celsius,1,1,,,"tank,water,top,temp,sensor",TNK
testMode,,Test Mode,,,Bool,On/Off,,,,,,,,,
thdCurrent,,THD Current xxx,,,Number,,,percent,percent,1,1,,,,
thdCurrentA,,THD Current A,,,Number,,,percent,percent,1,1,,,,
thdCurrentB,,THD Current B,,,Number,,,percent,percent,1,1,,,,
thdCurrentC,,THD Current C,,,Number,,,percent,percent,1,1,,,,
thermoExpansionValve,thermoExpansionValveXXXX,Thermo Expansion Valve Command,Thermo Expansion Valve XX Command,"thermoExpansionValve(\d{0,4})",Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"thermo,expansion,valve,status,cmd","AC,AHU,ATU,CLR,CMP,FCU,HP,RTU,UV,VRF,FCU,HP"
thermoExpansionValveFb,thermoExpansionValveXXXXFb,Thermo Expansion Valve Feedback,Thermo Expansion Valve XX Feedback,"thermoExpansionValve(\d{0,4})Fb",Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"thermo,expansion,valve,status,sensor","AC,AHU,ATU,CLR,CMP,FCU,HP,RTU,UV,VRF,FCU,HP"
totalHarmonicDistortion,totalHarmonicDistortion,Total Harmonic Distortion,Total Harmonic Distortion,totalHarmonicDistortion,Number,,,percent,percent,1,1,,,"total,harmonic,distortion,sensor","PM,PRLY,PV,VPM"
transferFan,transferFanXXXX,Transfer Fan,Transfer Fan,"transferFan(\w{0,4}(?=[A-Z]|$))",Bool,On/Off,On/Off,,,,,,,"transfer,air,fan,status,cmd",TF
transferFanAlarm,transferFanXXXXAlarm,Transfer Fan Alarm,Transfer Fan Alarm,"transferFan(\w{0,4}(?=[A-Z]|$))Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"transfer,air,fan,alarm",TF
transferFanHandMode,transferFanXXXXHandMode,Transfer Fan Hand Mode,Transfer Fan Hand Mode,"transferFan(\w{0,4}(?=[A-Z]|$))HandMode",Bool,Hand/Auto,Hand/Auto,,,,,,,"transfer,air,fan,handMode,sensor",TF
transferFanSpeed,,Transfer Fan Speed,,,Number,,,percent,percent,1,1,,,,
transferFanSpeedStage,,Transfer Fan Speed Stage,,,Bool,On/Off,,,,,,,,,
transferFanStatus,transferFanXXXXStatus,Transfer Fan Status,Transfer Fan Status,"transferFan(\w{0,4}(?=[A-Z]|$))Status",Bool,On/Off,On/Off,,,,,,,"transfer,air,fan,status,sensor",TF
twrBypassFlow,twrBypassFlowXXXX,Tower Bypass Flow,Tower Bypass Flow XX,"twrBypassFlow(\d{0,4})",Number,,,gallons_per_minute,liters_per_minute,1,1,,,"condensed,water,bypass,flow,cmd",TWR
twrBypassFlowDb,twrBypassFlowXXXXDb,Tower Bypass Flow Deadband,Tower Bypass Flow XX Deadband,"twrBypassFlow(\d{0,4})Db",Number,,,gallons_per_minute,liters_per_minute,1,1,,,"condensed,water,bypass,flow,deadband,sp",TWR
